NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,445829,1200013,Acrelândia - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,164921,1200054,Assis Brasil - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,820793,1200104,Brasiléia - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,344752,1200138,Bujari - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,717612,1200179,Capixaba - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2313075,1200203,Cruzeiro do Sul - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,776868,1200252,Epitaciolândia - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,639844,1200302,Feijó - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,136531,1200328,Jordão - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,289345,1200336,Mâncio Lima - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,231082,1200344,Manoel Urbano - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,256481,1200351,Marechal Thaumaturgo - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,829047,1200385,Plácido de Castro - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,177517,1200393,Porto Walter - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,11266899,1200401,Rio Branco - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,253225,1200427,Rodrigues Alves - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,114984,1200435,Santa Rosa do Purus - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1037716,1200450,Senador Guiomard - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,841621,1200500,Sena Madureira - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,800496,1200609,Tarauacá - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,632360,1200708,Xapuri - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,585139,1200807,Porto Acre - AC,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,222262,1300029,Alvarães - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,124175,1300060,Amaturá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,135488,1300086,Anamã - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,252603,1300102,Anori - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,321020,1300144,Apuí - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,177565,1300201,Atalaia do Norte - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,567928,1300300,Autazes - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,207959,1300409,Barcelos - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,377493,1300508,Barreirinha - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,390616,1300607,Benjamin Constant - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,239687,1300631,Beruri - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,216113,1300680,Boa Vista do Ramos - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,576051,1300706,Boca do Acre - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,415321,1300805,Borba - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,195341,1300839,Caapiranga - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,177303,1300904,Canutama - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,406023,1301001,Carauari - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,398453,1301100,Careiro - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,355857,1301159,Careiro da Várzea - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,4861891,1301209,Coari - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,522891,1301308,Codajás - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,578742,1301407,Eirunepé - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,209889,1301506,Envira - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,297891,1301605,Fonte Boa - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,166381,1301654,Guajará - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,960741,1301704,Humaitá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,214597,1301803,Ipixuna - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1044312,1301852,Iranduba - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2775138,1301902,Itacoatiara - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,161304,1301951,Itamarati - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,173994,1302009,Itapiranga - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,127520,1302108,Japurá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,130664,1302207,Juruá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,351355,1302306,Jutaí - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,665442,1302405,Lábrea - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1776203,1302504,Manacapuru - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,264185,1302553,Manaquiri - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,113465435,1302603,Manaus - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,781078,1302702,Manicoré - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,181102,1302801,Maraã - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,649736,1302900,Maués - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,220804,1303007,Nhamundá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,325558,1303106,Nova Olinda do Norte - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,201710,1303205,Novo Airão - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,264810,1303304,Novo Aripuanã - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1511650,1303403,Parintins - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,221858,1303502,Pauini - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,592973,1303536,Presidente Figueiredo - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,406487,1303569,Rio Preto da Eva - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,197124,1303601,Santa Isabel do Rio Negro - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,305336,1303700,Santo Antônio do Içá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,511307,1303809,São Gabriel da Cachoeira - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,328404,1303908,São Paulo de Olivença - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,129935,1303957,São Sebastião do Uatumã - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,378318,1304005,Silves - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,824249,1304062,Tabatinga - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,279445,1304104,Tapauá - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1386545,1304203,Tefé - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,202743,1304237,Tonantins - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,250157,1304260,Uarini - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,220398,1304302,Urucará - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,262906,1304401,Urucurituba - AM,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,300390,1400027,Amajari - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,700058,1400050,Alto Alegre - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,15213966,1400100,Boa Vista - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,705965,1400159,Bonfim - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,405868,1400175,Cantá - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,530515,1400209,Caracaraí - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,276635,1400233,Caroebe - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,235247,1400282,Iracema - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,481025,1400308,Mucajaí - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,270720,1400407,Normandia - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,393278,1400456,Pacaraima - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,828529,1400472,Rorainópolis - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,343559,1400506,São João da Baliza - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,192540,1400605,São Luiz do Anauá - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,217047,1400704,Uiramutã - RR,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2193300,1500107,Abaetetuba - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,126585,1500131,Abel Figueiredo - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1242612,1500206,Acará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,539303,1500305,Afuá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,848598,1500347,Água Azul do Norte - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,919276,1500404,Alenquer - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,687485,1500503,Almeirim - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,3457957,1500602,Altamira - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,304791,1500701,Anajás - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,9983645,1500800,Ananindeua - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,687043,1500859,Anapu - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,405345,1500909,Augusto Corrêa - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,340027,1500958,Aurora do Pará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,186422,1501006,Aveiro - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,277458,1501105,Bagre - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,694648,1501204,Baião - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,138929,1501253,Bannach - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,8408789,1501303,Barcarena - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,37604333,1501402,Belém - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,340703,1501451,Belterra - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2700819,1501501,Benevides - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,292675,1501576,Bom Jesus do Tocantins - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,232989,1501600,Bonito - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1737012,1501709,Bragança - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,440739,1501725,Brasil Novo - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,129481,1501758,Brejo Grande do Araguaia - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,767219,1501782,Breu Branco - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1227011,1501808,Breves - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,544690,1501907,Bujaru - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,214722,1501956,Cachoeira do Piriá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
